year,duration,NAR,block,treat,NP,np,NR,ESNpie,beta,gamma,ANPP,BNPP,PAR
2018,1,5,5,2,1,N1P0,4,1.950374465,0.3771006,36,587.51,103.94,2.323871007
2018,1,7,5,2,2,N1P1,5,1.994484859,0.4244918,34,591.96,96.14,1.000292284
2018,1,5,5,3,2,N1P1,3,3.012624889,0.3425738,34,500.86,124.73,1.743696261
2018,1,6,5,2,2,N1P1,4,2.361249617,0.326171,34,523.68,314.41,2.072771916
2018,1,3,5,2,0,N0P0,3,4.110463105,0.4678124,43,328.5,153.31,24.47980296
2019,2,5,1,1,1,N1P0,4,2.225573244,0.1836623,33,187.09,25.98,41.14
2019,2,3,1,3,2,N1P1,1,1.473045522,0.2429606,22,270.21,148.11,16.42
2019,2,6,1,3,2,N1P1,4,1.258623917,0.2045379,20,227.63,244.25,11.67
2019,2,2,1,2,0,N0P0,2,4.072854775,0.3422748,31,102.15,75.35,71.44
2019,2,0,1,1,0,N0P0,0,1.937824144,0.3314068,26,86.59,189.69,37.99
2019,2,6,1,1,1,N1P0,5,1.940549309,0.3501989,23,164.03,103.94,35.68
2019,2,7,1,1,1,N1P0,6,1.37144885,0.2960726,31,201.95,207.88,33.18
2019,2,4,1,2,2,N1P1,2,1.535258278,0.2973093,27,253.04,171.5,24.58
2019,2,5,1,2,1,N1P0,4,1.632384844,0.2621272,32,188.47,80.55,37.62
2019,2,5,1,3,2,N1P1,3,1.26921955,0.1414154,28,306.38,166.3,18.38
2019,2,2,1,1,0,N0P0,2,2.4898564,0.3624168,36,135.21,98.74,61.68
2019,2,7,1,3,2,N1P1,5,1.415132729,0.1133403,23,301.45,220.87,18.2
2019,2,2,1,3,2,N1P1,0,1.527339621,0.2230216,27,276.08,192.29,24.26
2019,2,4,1,3,1,N1P0,3,1.483228368,0.2615443,30,212.31,171.5,40.51
2019,2,6,1,2,2,N1P1,4,1.817872498,0.3216812,25,269.12,254.65,12.08
2019,2,0,1,2,0,N0P0,0,2.909048662,0.3755059,32,128.4,83.15,47.65
2019,2,3,1,2,0,N0P0,3,2.282517898,0.4074454,29,127.49,20.79,56.79
2019,2,7,1,2,2,N1P1,5,1.459232921,0.1553819,23,310.88,111.73,18.12
2019,2,8,1,3,2,N1P1,6,1.643588878,0.181618,26,302.24,109.13,8.4
2019,2,4,1,1,0,N0P0,4,2.195142807,0.3009041,32,121.28,161.1,46.05
2019,2,3,1,1,0,N0P0,3,3.604041092,0.335849,31,144.73,54.57,63.96
2019,2,7,2,1,1,N1P0,6,2.682875919,0.2960726,31,206.37,116.93,30.14
2019,2,2,2,2,0,N0P0,2,4.779495437,0.3422748,31,130.77,129.92,51.11
2019,2,3,2,1,0,N0P0,3,2.400011704,0.335849,31,163,166.3,81.57
2019,2,5,2,3,2,N1P1,3,1.611955479,0.1414154,28,332.82,233.86,22.32
2019,2,8,2,3,2,N1P1,6,2.380247117,0.181618,26,327.19,166.3,21.1
2019,2,0,2,1,0,N0P0,0,2.174375904,0.3314068,26,130.21,90.95,37.1
2019,2,5,2,1,1,N1P0,4,1.940192549,0.1836623,33,180.64,25.98,17.85
2019,2,4,2,3,1,N1P0,3,2.195545688,0.2615443,30,187.62,111.73,34.8
2019,2,7,2,2,2,N1P1,5,1.694850714,0.1553819,23,352.2,197.48,8.39
2019,2,5,2,2,1,N1P0,4,1.65379897,0.2621272,32,231.13,153.31,25.27
2019,2,6,2,1,1,N1P0,5,1.926760321,0.3501989,23,143.65,103.94,24.94
2019,2,4,2,2,2,N1P1,2,1.816958461,0.2973093,27,238.26,155.91,22.82
2019,2,3,2,2,0,N0P0,3,2.417082979,0.4074454,29,99.68,85.75,49.72
2019,2,7,2,3,2,N1P1,5,1.158193756,0.1133403,23,318.81,90.95,6.52
2019,2,3,2,3,2,N1P1,1,2.009042641,0.2429606,22,368.47,163.7,6.03
2019,2,6,2,2,2,N1P1,4,2.884989343,0.3216812,25,237.71,332.6,6.47
2019,2,0,2,2,0,N0P0,0,2.522128081,0.3755059,32,131.91,103.94,50.69
2019,2,4,2,1,0,N0P0,4,2.61088218,0.3009041,32,113.9,200.08,49.65
2019,2,2,2,1,0,N0P0,2,4.495867893,0.3624168,36,101.98,70.16,71.9
2019,2,2,2,3,2,N1P1,0,1.65710975,0.2230216,27,260.55,184.49,16.79
2019,2,6,2,3,2,N1P1,4,1.267713204,0.2045379,20,277.27,202.68,13.32
2019,2,7,3,2,2,N1P1,5,1.175661349,0.1553819,23,314.76,270.24,14.01
2019,2,5,3,2,1,N1P0,4,1.377332938,0.2621272,32,236.78,114.33,31.5
2019,2,5,3,3,2,N1P1,3,1.889404463,0.1414154,28,267.49,67.56,16.97
2019,2,2,3,1,0,N0P0,2,3.280011013,0.3624168,36,171.98,59.76,46.84
2019,2,4,3,3,1,N1P0,3,2.45784488,0.2615443,30,199.35,192.29,49.77
2019,2,0,3,1,0,N0P0,0,2.437627589,0.3314068,26,91.6,62.36,55.82
2019,2,7,3,1,1,N1P0,6,1.592668505,0.2960726,31,241.49,57.17,20.95
2019,2,6,3,2,2,N1P1,4,1.209263083,0.3216812,25,303.05,161.1,14.28
2019,2,0,3,2,0,N0P0,0,2.710644157,0.3755059,32,120.68,31.18,55.52
2019,2,3,3,1,0,N0P0,3,2.770807291,0.335849,31,109.15,75.35,67.03
2019,2,8,3,3,2,N1P1,6,1.408612332,0.181618,26,315.86,194.88,11.07
2019,2,2,3,2,0,N0P0,2,4.173713321,0.3422748,31,109.43,59.76,76.33
2019,2,5,3,1,1,N1P0,4,2.497734766,0.1836623,33,170.44,64.96,52.34
2019,2,3,3,3,2,N1P1,1,1.256365743,0.2429606,22,254.97,189.69,20.9
2019,2,4,3,1,0,N0P0,4,3.221484993,0.3009041,32,145.89,51.97,43.93
2019,2,3,3,2,0,N0P0,3,3.287784584,0.4074454,29,131.89,137.72,48.43
2019,2,6,3,1,1,N1P0,5,1.239821332,0.3501989,23,259.77,140.32,20.97
2019,2,4,3,2,2,N1P1,2,1.483469765,0.2973093,27,246.68,148.11,19.33
2019,2,7,3,3,2,N1P1,5,1.199703236,0.1133403,23,343.4,192.29,9.98
2019,2,2,3,3,2,N1P1,0,1.850042239,0.2230216,27,295.33,207.88,26.13
2019,2,6,3,3,2,N1P1,4,1.457491679,0.2045379,20,253.68,293.62,23.02
2019,2,0,4,2,0,N0P0,0,4.832987212,0.3755059,32,113.23,135.12,58.06
2019,2,3,4,1,0,N0P0,3,3.642632992,0.335849,31,133.33,98.74,58.71
2019,2,6,4,2,2,N1P1,4,1.144475414,0.3216812,25,369,257.25,7.82
2019,2,6,4,3,2,N1P1,4,1.054463143,0.2045379,20,368.53,283.23,11.71
2019,2,0,4,1,0,N0P0,0,3.56113743,0.3314068,26,105.03,161.1,34.15
2019,2,3,4,3,2,N1P1,1,1.475204522,0.2429606,22,257.53,62.36,11.86
2019,2,5,4,3,2,N1P1,3,1.398376218,0.1414154,28,253.93,127.32,16.98
2019,2,4,4,2,2,N1P1,2,1.182750811,0.2973093,27,361.2,306.62,9.15
2019,2,8,4,3,2,N1P1,6,1.236137959,0.181618,26,417.29,187.09,6.46
2019,2,6,4,1,1,N1P0,5,1.399621682,0.3501989,23,216.39,72.76,28.18
2019,2,5,4,1,1,N1P0,4,1.928087019,0.1836623,33,193.44,246.85,20.44
2019,2,7,4,2,2,N1P1,5,1.281143452,0.1553819,23,369.38,327.4,12.38
2019,2,4,4,1,0,N0P0,4,3.817108083,0.3009041,32,119.88,96.14,62.25
2019,2,3,4,2,0,N0P0,3,4.52606945,0.4074454,29,116.07,101.34,72.21
2019,2,4,4,3,1,N1P0,3,1.995662158,0.2615443,30,217.47,187.09,38.68
2019,2,2,4,3,2,N1P1,0,1.287912791,0.2230216,27,210.82,283.23,7.32
2019,2,7,4,3,2,N1P1,5,1.103753734,0.1133403,23,333.53,205.28,11.47
2019,2,5,4,2,1,N1P0,4,2.564056693,0.2621272,32,199.23,114.33,22.57
2019,2,2,4,1,0,N0P0,2,2.255512696,0.3624168,36,132.65,54.57,57.66
2019,2,2,4,2,0,N0P0,2,4.321957009,0.3422748,31,122.07,54.57,64.24
2019,2,7,4,1,1,N1P0,6,1.630960577,0.2960726,31,239.75,137.72,35.24
2019,2,5,5,1,1,N1P0,4,1.831237819,0.1836623,33,215.03,400.16,29.42
2019,2,4,5,2,2,N1P1,2,1.130468372,0.2973093,27,384.87,101.34,12.02
2019,2,2,5,2,0,N0P0,2,3.102409959,0.3422748,31,132.89,101.34,61.98
2019,2,0,5,2,0,N0P0,0,3.767038469,0.3755059,32,93.1,25.98,62.77
2019,2,0,5,1,0,N0P0,0,3.937123299,0.3314068,26,167.23,142.91,45.67
2019,2,3,5,3,2,N1P1,1,1.054766154,0.2429606,22,401.97,187.09,14.25
2019,2,4,5,1,0,N0P0,4,1.941585425,0.3009041,32,130.1,98.74,62.38
2019,2,7,5,1,1,N1P0,6,1.551293812,0.2960726,31,235.82,135.12,21.45
2019,2,7,5,3,2,N1P1,5,1.074257206,0.1133403,23,365.05,262.44,6.1
2019,2,8,5,3,2,N1P1,6,1.054446575,0.181618,26,283.1,288.43,8.44
2019,2,2,5,3,2,N1P1,0,1.503583507,0.2230216,27,338.73,197.48,14.13
2019,2,4,5,3,1,N1P0,3,1.330537947,0.2615443,30,233.67,179.29,41.33
2019,2,3,5,1,0,N0P0,3,2.82512441,0.335849,31,133.62,265.04,48.43
2019,2,6,5,3,2,N1P1,4,1.103568538,0.2045379,20,326.08,252.05,9.3
2019,2,2,5,1,0,N0P0,2,2.766244274,0.3624168,36,140.5,132.52,47.35
2019,2,6,5,1,1,N1P0,5,1.617157431,0.3501989,23,366,155.91,27.5
2019,2,5,5,2,1,N1P0,4,1.480074802,0.2621272,32,286.57,67.56,29.48
2019,2,7,5,2,2,N1P1,5,1.958909199,0.1553819,23,352.11,309.22,11.78
2019,2,5,5,3,2,N1P1,3,1.409132283,0.1414154,28,303.36,202.68,10.97
2019,2,6,5,2,2,N1P1,4,1.422630791,0.3216812,25,345.72,283.23,9.36
2019,2,3,5,2,0,N0P0,3,3.202830713,0.4074454,29,133.15,96.14,48.09
2020,3,5,1,1,1,N1P0,4,2.150538556,0.3705701,32,120.6,75.35,32.62
2020,3,3,1,3,2,N1P1,1,1.377661566,0.3248435,29,161.73,88.35,25.82
2020,3,6,1,3,2,N1P1,4,1.384145751,0.3808058,25,181.94,127.32,25.45
2020,3,2,1,2,0,N0P0,2,3.839862492,0.2966146,38,166.41,88.35,44.12
2020,3,0,1,1,0,N0P0,0,2.739665705,0.2580695,33,214.28,161.1,24.96
2020,3,6,1,1,1,N1P0,5,2.734820717,0.3006646,25,143.18,41.58,33.82
2020,3,7,1,1,1,N1P0,6,1.143606307,0.3786252,28,161.76,98.74,19.38
2020,3,4,1,2,2,N1P1,2,1.502569991,0.1909716,27,242.14,62.36,13
2020,3,5,1,2,1,N1P0,4,2.090618584,0.2675955,28,251.7,31.18,14.88
2020,3,5,1,3,2,N1P1,3,1.629269396,0.2538364,24,261.06,135.12,9.1
2020,3,2,1,1,0,N0P0,2,4.276086451,0.3642129,42,214.18,57.17,35.06
2020,3,7,1,3,2,N1P1,5,1.376400563,0.3233501,26,199.3,119.53,11.76
2020,3,2,1,3,2,N1P1,0,1.376530431,0.3307042,29,157.35,51.97,28.04
2020,3,4,1,3,1,N1P0,3,1.433990961,0.1591422,30,195.3,28.58,16.93
2020,3,6,1,2,2,N1P1,4,1.469915742,0.3736301,22,149.56,85.75,31.22
2020,3,0,1,2,0,N0P0,0,2.411136309,0.4475146,36,207.57,140.32,42.82
2020,3,3,1,2,0,N0P0,3,3.272766499,0.2814538,41,189.1,15.59,38.43
2020,3,7,1,2,2,N1P1,5,1.254096835,0.4341098,27,146.79,46.77,12.33
2020,3,8,1,3,2,N1P1,6,1.13681838,0.3975384,22,170.19,46.77,19.35
2020,3,4,1,1,0,N0P0,4,2.992411478,0.3129501,37,217.29,54.57,34.02
2020,3,3,1,1,0,N0P0,3,3.926874468,0.3488697,32,186.18,49.37,46.97
2020,3,7,2,1,1,N1P0,6,1.93309621,0.3786252,28,205.59,18.19,23.41
2020,3,2,2,2,0,N0P0,2,3.750955146,0.2966146,38,201.65,179.29,34.66
2020,3,3,2,1,0,N0P0,3,3.984661358,0.3488697,32,226.56,72.76,30.4
2020,3,5,2,3,2,N1P1,3,1.10421361,0.2538364,24,171.08,306.62,4.11
2020,3,8,2,3,2,N1P1,6,1.546010117,0.3975384,22,95.76,218.27,37.84
2020,3,0,2,1,0,N0P0,0,2.209255701,0.2580695,33,194.09,44.17,32.3
2020,3,5,2,1,1,N1P0,4,1.471136662,0.3705701,32,184.95,10.39,18.14
2020,3,4,2,3,1,N1P0,3,1.625606886,0.1591422,30,304.76,116.93,13.14
2020,3,7,2,2,2,N1P1,5,1.275112288,0.4341098,27,361.41,20.79,8.33
2020,3,5,2,2,1,N1P0,4,1.101933358,0.2675955,28,261.7,5.2,6.78
